,Gene Symbol
2107,HSD3B1
2113,IL3
2115,IRF2
2117,KBTBD4
2119,KEL
2122,KSR2
2126,LTB
2127,LTK
2129,MAD2L2
2130,MAP3K7
2131,MEF2C
2132,MERTK
2133,MGAM
2134,MKI67
2137,MOB3B
2138,MPEG1
2144,NADK
2147,NFE2
2157,PDS5B
2159,PGBD5
2161,PIGA
2162,PIK3C2B
2165,PPP2R2A
2169,PRKDC
2172,PTPN1
2174,PTPRO
2178,RELN
2182,ROBO1
2188,SCG5
2190,SERPINB3
2191,SERPINB4
2192,SETD1A
2194,SETD3
2195,SETD4
2196,SETD5
2197,SETD6
2198,SETD7
2199,SETDB2
2202,SLFN11
2203,SMARCA1
2205,SMG1
2206,SOCS3
2207,SOX10
2209,SPRTN
2215,STAT4
2216,TAF1
2219,TET3
2226,TRG
2230,TRIP13
2232,VAV2
2238,ZBTB7A
2243,ZNF703
2245,ABCB1
2248,ACTB
2249,ADARB2
2250,ADGRG4
2251,ADHFE1
2253,AGGF1
2254,AIP
2256,AKT1S1
2257,ALDH1L2
2259,ALOX15B
2260,ALOX5
2261,ANKRD26
2262,APEX1
2263,APH1A
2265,ASMTL
2267,ATG5
2269,ATRIP
2270,BAALC
2273,BTLA
2274,CASR
2278,CCNB3
2279,CCT6B
2280,CD19
2281,CD36
2282,CDH2
2283,CDH4
2284,CDKN1C
2287,CHN1
2288,CHTF8
2289,CILK1
2290,CKS1B
2295,CPS1
2298,CSF1
2299,CTDNEP1
2300,CYP17A1
2301,DAZAP1
2303,DDR1
2304,DDX4
2305,DDX41
2306,DHX15
2307,DKK1
2308,DKK2
2309,DKK3
2310,DKK4
2311,DPYD
2312,DUSP2
2313,DUSP9
2314,ECSIT
2316,EIF2B1
2317,ELL2
2318,ELP2
2319,ERCC1
2320,EXOSC6
2322,FAF1
2323,FANCI
2324,FANCM
2326,FBXO31
2327,FBXW2
2328,FGF1
2329,FGF12
2330,FGF2
2331,FGF5
2332,FGF7
2333,FGF8
2334,FGF9
2336,FLYWCH1
2338,FOLH1
2339,FOLR1
2340,FOXN4
2341,FSTL1
2342,FZR1
2343,GADD45B
2344,GEN1
2348,GRB7
2349,GTSE1
2350,H3C15
2351,H3P6
2352,H4C6
2353,HDAC2
2354,HFE
2355,HNF1B
2358,HOXA3
2359,HSD17B2
2360,HTATIP2
2361,ID1
2362,IFNAR1
2364,IKZF2
2367,INPP5D
2368,INTS6
2369,IQGAP1
2371,ITPKB
2376,KDM2B
2377,KDM4C
2378,KDM5D
2379,KLF2
2380,KLF3
2387,LGR5
2390,LRP5
2391,LRP6
2392,LRRK2
2393,MAGED1
2394,MAGI2
2395,MAL2
2397,MAP3K21
2398,MAP3K6
2399,MAP4K4
2400,MBD4
2401,MBD6
2403,MEF2D
2404,MIB1
2405,MIDEAS
2406,MKNK1
2407,MLH3
2410,MS4A1
2412,MTHFD2
2413,MYBL1
2414,MYO18A
2417,NBEAP1
2423,NHERF1
2424,NOD1
2426,NQO1
2427,NUTM2A
2432,ONECUT2
2433,PAG1
2434,PAK3
2435,PARP2
2436,PARP3
2437,PASK
2439,PC
2440,PCLO
2441,PCSK7
2442,PDCD11
2443,PHF1
2444,PHF19
2445,PHLPP1
2446,PHLPP2
2448,POLH
2451,POU3F2
2452,POU3F4
2455,PPP1CB
2458,PRPF8
2459,PRSS1
2460,PRSS8
2461,PSMB2
2463,PTK7
2469,PUM1
2472,RASGEF1A
2473,REV3L
2474,RIOK2
2476,RNASEH2A
2477,RNASEH2B
2478,RNF217-AS1
2480,RPS15
2481,RPS6KB1
2483,RUNX2
2484,S1PR2
2486,SAMD9
2487,SAMD9L
2489,SEC31A
2490,SEPTIN5
2491,SEPTIN6
2492,SEPTIN9
2493,SERP2
2494,SF3B2
2496,SFRP1
2497,SFRP2
2500,SLC1A2
2502,SLIT2
2503,SLIT3
2504,SNCAIP
