fold,cancer_type,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex_global,normalized_val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
10,LUAD,100,0.14659813046455383,0.14432517758437566,0.618494910094187,0.14659813046455383,0.547683923705722,0.547683923705722,0.14314575493335724,0.5821138211382114,6.8275366,0.3242953,-0.17184108
10,PAAD,100,0.38600680232048035,0.3541061282157898,0.5885225885225885,0.38600680232048035,0.5818713450292398,0.5818713450292398,0.39259716868400574,0.37037037037037035,10.964023,0.037663195,0.18601798
10,ESCA,100,0.330249547958374,-0.0008386174837748209,0.4423683571948556,0.330249547958374,0.37155963302752293,0.37155963302752293,0.33947157859802246,0.3939393939393939,10.990705,0.020512624,0.09775139
10,KICH,100,0.30661246180534363,0.3188771605491638,0.7006578947368421,0.30661246180534363,,,0.30661246180534363,,-0.832037,1.7189277,-0.3598975
10,GBM,100,0.1475248523056507,0.17296183109283447,0.5496934168856547,0.1475248523056507,0.4888349514563107,0.4888349514563107,0.1816820651292801,0.4246771879483501,13.173936,0.0072090714,0.07907863
10,OV,100,0.17463693767786026,0.17448934664328894,0.6181041625003572,0.17463693767786026,0.44770819883796,0.44770819883796,0.1800234615802765,0.415819209039548,6.9199276,0.36203048,0.30815002
10,UCS,100,0.2869597375392914,0.3587481677532196,0.6021314387211367,0.2869597375392914,0.5625,0.5625,0.38859471678733826,0.6923076923076923,-1.7446772,0.39359537,-0.6732218
10,LUSC,100,0.22091815620660782,0.07774573990276881,0.48926760401060276,0.22091815620660782,0.42922794117647056,0.42922794117647056,0.22670111060142517,0.43275632490013316,11.323065,0.0072697317,-0.02911141
10,KIRC,100,0.1730327159166336,0.15904611945152283,0.6604462138176993,0.1730327159166336,0.562037797863599,0.562037797863599,0.15714985132217407,0.3671875,-1.3394203,0.37892264,0.37995005
10,PCPG,100,0.2885379195213318,0.16011685132980347,0.9268774703557312,0.2885379195213318,0.8928571428571429,0.8928571428571429,0.3212783634662628,0.08333333333333333,-2.5293605,4.3052125,-0.12845735
10,MESO,100,0.2876376509666443,0.3502238094806671,0.6839972991222147,0.2876376509666443,0.4927536231884058,0.4927536231884058,0.07739385962486267,0.48148148148148145,8.644898,0.851984,-0.5075305
10,TGCT,100,0.23467281460762024,0.23532621562480927,0.7962962962962963,0.23467281460762024,,,0.25448164343833923,0.5384615384615384,4.636346,3.700705,0.061543576
10,THYM,100,0.2544182538986206,0.25207749009132385,0.8028985507246377,0.2544182538986206,0.95,0.95,0.2492748200893402,,6.3676333,0.6476695,0.17855379
10,SARC,100,0.238796204328537,0.22260123987992605,0.7691834942932397,0.238796204328537,0.5190156599552572,0.5190156599552572,0.271684467792511,0.532051282051282,-0.4591132,1.0505831,0.23997302
10,CHOL,36,0.486662358045578,0.41646522283554077,0.6973684210526315,0.486662358045578,0.4827586206896552,0.4827586206896552,0.1414165198802948,0.16666666666666666,-0.64172095,0.11650013,0.36738977
10,UVM,100,0.24447402358055115,0.32028713822364807,0.7120582120582121,0.24447402358055115,0.8260869565217391,0.8260869565217391,0.29120564460754395,0.9166666666666666,1.6662574,1.8824866,-0.78278947
10,LAML,100,0.3255215883255005,0.2927992194890976,0.5578348332451032,0.3255215883255005,0.3618421052631579,0.3618421052631579,0.33980023860931396,0.4880952380952381,1.5285268,0.15714806,0.18125206
10,DLBC,100,0.3417002558708191,0.3062534034252167,0.695364238410596,0.3417002558708191,0.2857142857142857,0.2857142857142857,0.3104579746723175,,10.314653,0.08792964,-0.15282956
